37	36	41
37	41	38
38	41	40
38	40	39
43	42	47
43	47	46
43	46	44
44	46	45
42	87	47
47	87	88
47	88	46
46	88	89
46	89	90
46	90	45
45	90	91
45	91	26
45	26	25
25	44	45
25	24	44
24	23	44
23	43	44
23	22	43
22	42	43
21	38	39
21	20	38
20	37	38
20	19	37
19	18	37
18	36	37
18	17	36
17	82	36
36	82	83
36	83	41
41	83	84
41	84	85
41	85	40
40	85	86
40	86	39
21	27	81
81	27	22
21	39	27
22	27	42
27	39	28
27	28	42
29	28	39
42	28	29
39	86	29
29	87	42
86	31	29
29	35	87
29	31	30
29	30	35
30	31	32
30	32	33
30	33	34
30	34	35
51	62	52
52	62	63
52	63	53
53	63	64
64	65	55
65	56	55
65	66	56
66	57	56
51	50	62
50	61	62
50	49	61
49	60	61
60	59	67
67	59	58
67	58	66
66	58	57
49	48	60
48	59	60
53	64	54
64	55	54
60	67	61
61	67	62
62	67	66
62	66	65
62	65	63
63	65	64
33	50	51
32	50	33
32	49	50
31	49	32
31	48	49
69	48	31
69	71	48
71	73	48
48	73	59
73	74	59
59	74	75
59	75	58
58	75	57
57	75	76
57	76	77
57	77	56
56	77	55
55	77	78
55	78	79
55	79	54
54	79	70
68	54	70
35	54	68
35	53	54
34	53	35
34	52	53
33	52	34
33	51	52
86	69	31
85	69	86
84	69	85
84	72	69
83	72	84
72	71	69
87	35	68
87	68	88
88	68	89
89	68	80
89	80	90
68	70	80
17	0	82
0	1	82
1	83	82
1	2	83
2	3	83
83	3	72
3	4	72
72	4	71
4	5	71
71	5	73
73	5	74
5	6	74
74	6	75
6	7	75
75	7	76
76	7	8
76	8	9
76	9	77
77	9	10
77	10	78
78	10	11
78	11	79
79	11	70
70	11	12
80	70	12
80	12	13
90	80	13
90	13	14
90	14	15
91	90	15
16	91	15
26	91	16
