41	36	37
38	41	37
40	41	38
39	40	38
47	42	43
46	47	43
44	46	43
45	46	44
47	87	42
88	87	47
46	88	47
89	88	46
90	89	46
45	90	46
91	90	45
26	91	45
25	26	45
45	44	25
44	24	25
44	23	24
44	43	23
43	22	23
43	42	22
39	38	21
38	20	21
38	37	20
37	19	20
37	18	19
37	36	18
36	17	18
36	82	17
83	82	36
41	83	36
84	83	41
85	84	41
40	85	41
86	85	40
39	86	40
81	27	21
22	27	81
27	39	21
42	27	22
28	39	27
42	28	27
39	28	29
29	28	42
29	86	39
42	87	29
29	31	86
87	35	29
30	31	29
35	30	29
32	31	30
33	32	30
34	33	30
35	34	30
52	62	51
63	62	52
53	63	52
64	63	53
55	65	64
55	56	65
56	66	65
56	57	66
62	50	51
62	61	50
61	49	50
61	60	49
67	59	60
58	59	67
66	58	67
57	58	66
60	48	49
60	59	48
54	64	53
54	55	64
61	67	60
62	67	61
66	67	62
65	66	62
63	65	62
64	65	63
51	50	33
33	50	32
50	49	32
32	49	31
49	48	31
31	48	69
48	71	69
48	73	71
59	73	48
59	74	73
75	74	59
58	75	59
57	75	58
76	75	57
77	76	57
56	77	57
55	77	56
78	77	55
79	78	55
54	79	55
70	79	54
70	54	68
68	54	35
54	53	35
35	53	34
53	52	34
34	52	33
52	51	33
31	69	86
86	69	85
85	69	84
69	72	84
84	72	83
69	71	72
68	35	87
88	68	87
89	68	88
80	68	89
90	80	89
80	70	68
82	0	17
82	1	0
82	83	1
83	2	1
83	3	2
72	3	83
72	4	3
71	4	72
71	5	4
73	5	71
74	5	73
74	6	5
75	6	74
75	7	6
76	7	75
8	7	76
9	8	76
77	9	76
10	9	77
78	10	77
11	10	78
79	11	78
70	11	79
12	11	70
12	70	80
13	12	80
13	80	90
14	13	90
15	14	90
15	90	91
15	91	16
16	91	26
26	93	16
26	163	93
25	163	26
25	164	163
24	164	25
24	165	164
23	165	24
22	165	23
22	166	165
81	166	22
21	166	81
21	167	166
21	20	167
19	167	20
19	168	167
18	168	169
17	169	18
17	92	169
0	92	17
92	105	169
105	158	169
105	147	158
105	104	147
147	104	136
104	103	136
169	158	168
158	157	168
147	157	158
147	146	157
136	146	147
135	136	146
136	103	135
103	124	135
103	102	124
168	157	167
167	157	156
157	146	156
156	146	145
146	135	145
145	135	134
135	124	134
134	124	123
124	102	123
123	102	101
167	156	166
166	156	155
156	145	155
155	145	144
145	134	144
144	134	133
134	123	133
133	123	122
123	101	122
122	101	100
165	166	154
166	155	154
154	155	143
155	144	143
143	144	132
144	133	132
132	133	121
133	122	121
121	122	98
122	100	98
164	165	153
165	154	153
153	154	142
154	143	142
142	143	131
143	132	131
131	132	120
132	121	120
120	121	97
121	98	97
164	152	163
164	153	152
153	141	152
153	142	141
141	142	130
142	131	130
130	131	96
131	120	96
120	97	96
95	130	96
141	130	95
94	141	95
94	152	141
163	152	94
93	163	94
92	175	105
92	175	0
0	172	175
1	172	0
1	173	172
2	173	1
2	174	173
3	174	2
179	93	94
179	16	93
178	16	179
178	15	16
177	15	178
177	14	15
177	176	14
13	14	176
18	19	168
4	5	180
5	181	180
5	6	181
6	182	181
6	7	182
7	183	182
7	8	183
8	9	183
9	184	183
9	10	184
10	185	184
10	11	185
11	186	185
11	12	186
